"","subject","IP_LABEL","IA_LABEL","trial","condition","condition_trial","motion","stimulus","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"172","subj.15","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",2,0,2842,3002,"Mix","m","no",24
"173","subj.15","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",2,0,3003,3003,"Mix","m","no",24
"174","subj.15","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",3,0,2871,3003,"Mix","m","no",24
"175","subj.15","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",3,0,2935,3003,"Mix","m","no",24
"176","subj.15","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",3,0,2581,3002,"Mix","m","no",24
"177","subj.15","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",4,3008,3008,3008,"Mix","m","no",24
"178","subj.15","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",4,2055,2800,3030,"Mix","m","no",24
"179","subj.15","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",4,2893,2930,3007,"Mix","m","no",24
"180","subj.16","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",1,1883,2928,3031,"Border Collie","f","no",18
"181","subj.16","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",1,1375,2886,3000,"Border Collie","f","no",18
"182","subj.16","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",1,0,2597,3003,"Border Collie","f","no",18
"183","subj.16","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",2,706,2982,3002,"Border Collie","f","no",18
"184","subj.16","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",2,0,1996,3002,"Border Collie","f","no",18
"185","subj.16","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",2,2700,2991,3031,"Border Collie","f","no",18
"186","subj.16","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",3,0,3003,3003,"Border Collie","f","no",18
"187","subj.16","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",3,0,3003,3003,"Border Collie","f","no",18
"188","subj.16","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",3,2907,2907,3002,"Border Collie","f","no",18
"189","subj.16","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",4,1690,2360,3019,"Border Collie","f","no",18
"190","subj.16","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",4,1249,2828,3002,"Border Collie","f","no",18
"191","subj.16","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",4,1848,2815,3002,"Border Collie","f","no",18
"192","subj.17","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",1,2719,2719,3030,"Small M<fc>nsterl<e4>nder","m","no",14
"193","subj.17","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",1,436,1204,3001,"Small M<fc>nsterl<e4>nder","m","no",14
"194","subj.17","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",1,2835,2902,3027,"Small M<fc>nsterl<e4>nder","m","no",14
"195","subj.17","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",2,2690,2970,3002,"Small M<fc>nsterl<e4>nder","m","no",14
"196","subj.17","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",2,2346,2813,3029,"Small M<fc>nsterl<e4>nder","m","no",14
"197","subj.17","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",2,3003,3003,3003,"Small M<fc>nsterl<e4>nder","m","no",14
"198","subj.17","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",3,2479,2896,3006,"Small M<fc>nsterl<e4>nder","m","no",14
"199","subj.17","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",3,1046,2717,3003,"Small M<fc>nsterl<e4>nder","m","no",14
"200","subj.17","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",3,2856,2856,3003,"Small M<fc>nsterl<e4>nder","m","no",14
"201","subj.17","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",4,1098,2605,3030,"Small M<fc>nsterl<e4>nder","m","no",14
"202","subj.17","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",4,2777,2928,3003,"Small M<fc>nsterl<e4>nder","m","no",14
"203","subj.17","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",4,2996,2996,3002,"Small M<fc>nsterl<e4>nder","m","no",14
