"","subject","trial","condition","motion","stimulus","session","AVERAGE_FIXATION_DURATION","AVERAGE_SACCADE_AMPLITUDE","FIXATION_COUNT","PUPIL_SIZE_MAX","SACCADE_COUNT","Breed","sex","neutered","age","stimuli_first","motion_first"
"158","subj.14",2,"F-C","C","F",1,1149,4.79,16,7290,15,"Labrador Retriever","f","yes",29,"fur","constant"
"159","subj.14",3,"F-C","C","F",1,910.9,5.15,20,7175,19,"Labrador Retriever","f","yes",29,"fur","constant"
"160","subj.14",1,"F-V","V","F",2,644.29,3.17,28,4958,27,"Labrador Retriever","f","yes",29,"fur","constant"
"161","subj.14",2,"F-V","V","F",2,671.44,3.23,27,4579,26,"Labrador Retriever","f","yes",29,"fur","constant"
"162","subj.14",3,"F-V","V","F",2,823.45,4.31,22,5499,21,"Labrador Retriever","f","yes",29,"fur","constant"
"163","subj.14",1,"B-V","V","B",3,829.55,3.81,22,5663,21,"Labrador Retriever","f","yes",29,"fur","constant"
"164","subj.14",2,"B-V","V","B",3,870.52,3.86,21,4331,20,"Labrador Retriever","f","yes",29,"fur","constant"
"165","subj.14",3,"B-V","V","B",3,818.27,6.75,22,5487,21,"Labrador Retriever","f","yes",29,"fur","constant"
"166","subj.14",1,"B-C","C","B",4,781.13,3.57,23,6094,22,"Labrador Retriever","f","yes",29,"fur","constant"
"167","subj.14",2,"B-C","C","B",4,872.9,3.43,21,5071,20,"Labrador Retriever","f","yes",29,"fur","constant"
"168","subj.14",3,"B-C","C","B",4,1149.88,4.09,16,4844,15,"Labrador Retriever","f","yes",29,"fur","constant"
"169","subj.15",1,"F-C","C","F",1,1054.76,6.2,17,11622,16,"Mix","m","no",24,"fur","constant"
"170","subj.15",2,"F-C","C","F",1,1217.27,5.32,15,8950,14,"Mix","m","no",24,"fur","constant"
"171","subj.15",3,"F-C","C","F",1,753.3,7.06,23,9325,22,"Mix","m","no",24,"fur","constant"
"172","subj.15",1,"F-V","V","F",2,1222.07,5.66,15,11083,14,"Mix","m","no",24,"fur","constant"
"173","subj.15",2,"F-V","V","F",2,806.71,9.07,21,9410,20,"Mix","m","no",24,"fur","constant"
"174","subj.15",3,"F-V","V","F",2,1209.93,7.94,15,13834,14,"Mix","m","no",24,"fur","constant"
"175","subj.15",1,"B-C","C","B",3,722.64,3.6,25,5792,24,"Mix","m","no",24,"fur","constant"
"176","subj.15",2,"B-C","C","B",3,1478.33,6.04,12,5585,11,"Mix","m","no",24,"fur","constant"
"177","subj.15",3,"B-C","C","B",3,1625.55,9.39,11,5793,10,"Mix","m","no",24,"fur","constant"
"178","subj.15",1,"B-V","V","B",4,848.1,7.63,21,5848,20,"Mix","m","no",24,"fur","constant"
"179","subj.15",2,"B-V","V","B",4,1281.86,10.39,14,6275,13,"Mix","m","no",24,"fur","constant"
"180","subj.15",3,"B-V","V","B",4,1172.4,8.39,15,7061,14,"Mix","m","no",24,"fur","constant"
"181","subj.16",1,"B-V","V","B",1,772.87,7.26,23,6154,22,"Border Collie","f","no",18,"ball","variable"
"182","subj.16",2,"B-V","V","B",1,1230.5,10.36,14,5606,13,"Border Collie","f","no",18,"ball","variable"
"183","subj.16",3,"B-V","V","B",1,1785.9,14.14,10,6380,10,"Border Collie","f","no",18,"ball","variable"
"184","subj.16",1,"B-C","C","B",2,1284.64,10.13,14,8070,13,"Border Collie","f","no",18,"ball","variable"
"185","subj.16",2,"B-C","C","B",2,1163.21,9.27,14,8714,14,"Border Collie","f","no",18,"ball","variable"
"186","subj.16",3,"B-C","C","B",2,1266.79,6.62,14,10043,13,"Border Collie","f","no",18,"ball","variable"
"187","subj.16",1,"F-V","V","F",3,949.44,8.21,18,5794,17,"Border Collie","f","no",18,"ball","variable"
"188","subj.16",2,"F-V","V","F",3,1390.62,10.36,13,6828,12,"Border Collie","f","no",18,"ball","variable"
"189","subj.16",3,"F-V","V","F",3,1656.27,10.27,11,9807,11,"Border Collie","f","no",18,"ball","variable"
"190","subj.16",1,"F-C","C","F",4,883.55,6.35,20,4692,20,"Border Collie","f","no",18,"ball","variable"
"191","subj.16",2,"F-C","C","F",4,990.56,9.94,18,7396,17,"Border Collie","f","no",18,"ball","variable"
"192","subj.16",3,"F-C","C","F",4,919.28,5.81,18,5403,17,"Border Collie","f","no",18,"ball","variable"
"193","subj.17",1,"F-V","V","F",1,317.02,1.67,53,4272,52,"Small M<fc>nsterl<e4>nder","m","no",14,"fur","variable"
"194","subj.17",2,"F-V","V","F",1,403.79,2.97,39,3216,38,"Small M<fc>nsterl<e4>nder","m","no",14,"fur","variable"
"195","subj.17",3,"F-V","V","F",1,359.16,3.76,44,4852,43,"Small M<fc>nsterl<e4>nder","m","no",14,"fur","variable"
"196","subj.17",1,"F-C","C","F",2,727.08,4.67,24,2840,23,"Small M<fc>nsterl<e4>nder","m","no",14,"fur","variable"
"197","subj.17",2,"F-C","C","F",2,756.17,4.71,23,2763,22,"Small M<fc>nsterl<e4>nder","m","no",14,"fur","variable"
"198","subj.17",3,"F-C","C","F",2,757.22,3.84,23,3353,22,"Small M<fc>nsterl<e4>nder","m","no",14,"fur","variable"
"199","subj.17",1,"B-V","V","B",3,732.17,3.69,24,3855,23,"Small M<fc>nsterl<e4>nder","m","no",14,"fur","variable"
"200","subj.17",2,"B-V","V","B",3,1023.59,7.1,17,3829,16,"Small M<fc>nsterl<e4>nder","m","no",14,"fur","variable"
"201","subj.17",3,"B-V","V","B",3,1002.39,3.9,18,3848,18,"Small M<fc>nsterl<e4>nder","m","no",14,"fur","variable"
"202","subj.17",1,"B-C","C","B",4,652.81,9.47,26,3779,25,"Small M<fc>nsterl<e4>nder","m","no",14,"fur","variable"
"203","subj.17",2,"B-C","C","B",4,828.52,5.83,21,4539,20,"Small M<fc>nsterl<e4>nder","m","no",14,"fur","variable"
"204","subj.17",3,"B-C","C","B",4,415.92,4.86,38,3740,37,"Small M<fc>nsterl<e4>nder","m","no",14,"fur","variable"
